benchmark,solver,configuration,configuration id,status,result,wallclock time,cpu time,
TRS_Standard/Beerendonk_07/12.xml,NaTT,Default,228408,complete,MAYBE,0.05,0.16,
TRS_Standard/Beerendonk_07/12.xml,ttt2-1.19,ttt2,325890,complete,MAYBE,244.52,99.38,
TRS_Standard/Beerendonk_07/12.xml,Wanda 2.1c,default,326231,complete,MAYBE,0.58,0.60,
TRS_Standard/Beerendonk_07/10.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/Beerendonk_07/10.xml,AProVE,standard,302124,complete,YES,5.56,2.30,
TRS_Standard/Beerendonk_07/10.xml,muterm 6.0.3,default,326595,complete,YES,0.16,0.21,
TRS_Standard/Beerendonk_07/10.xml,NaTT,Default,228408,complete,YES,0.03,0.11,
TRS_Standard/Beerendonk_07/10.xml,ttt2-1.19,ttt2,325890,complete,YES,10.42,2.98,
TRS_Standard/Beerendonk_07/10.xml,Wanda 2.1c,default,326231,complete,MAYBE,1.53,1.55,
TRS_Standard/Beerendonk_07/14.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/Beerendonk_07/14.xml,AProVE,standard,302124,complete,YES,6.58,2.79,
TRS_Standard/Beerendonk_07/14.xml,muterm 6.0.3,default,326595,timeout (wallclock),
TRS_Standard/Beerendonk_07/14.xml,NaTT,Default,228408,complete,MAYBE,0.05,0.14,
TRS_Standard/Beerendonk_07/14.xml,ttt2-1.19,ttt2,325890,complete,MAYBE,244.63,99.38,
TRS_Standard/Beerendonk_07/14.xml,Wanda 2.1c,default,326231,complete,MAYBE,0.69,0.72,
TRS_Standard/Beerendonk_07/13.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/Beerendonk_07/13.xml,AProVE,standard,302124,complete,YES,6.75,2.90,
TRS_Standard/Beerendonk_07/13.xml,muterm 6.0.3,default,326595,timeout (wallclock),
TRS_Standard/Beerendonk_07/13.xml,NaTT,Default,228408,complete,MAYBE,0.05,0.15,
TRS_Standard/Beerendonk_07/13.xml,ttt2-1.19,ttt2,325890,complete,MAYBE,244.61,99.38,
TRS_Standard/Beerendonk_07/13.xml,Wanda 2.1c,default,326231,complete,MAYBE,0.67,0.70,
TRS_Standard/Beerendonk_07/3.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/Beerendonk_07/3.xml,AProVE,standard,302124,complete,YES,4.90,2.26,
TRS_Standard/Beerendonk_07/3.xml,muterm 6.0.3,default,326595,timeout (wallclock),
TRS_Standard/Beerendonk_07/3.xml,NaTT,Default,228408,complete,MAYBE,0.04,0.11,
TRS_Standard/Beerendonk_07/3.xml,ttt2-1.19,ttt2,325890,complete,MAYBE,244.82,99.39,
TRS_Standard/Beerendonk_07/3.xml,Wanda 2.1c,default,326231,complete,MAYBE,0.38,0.40,
TRS_Standard/Beerendonk_07/20.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/Beerendonk_07/20.xml,AProVE,standard,302124,complete,YES,4.02,3.15,
TRS_Standard/Beerendonk_07/20.xml,muterm 6.0.3,default,326595,timeout (wallclock),
TRS_Standard/Beerendonk_07/20.xml,NaTT,Default,228408,complete,MAYBE,0.05,0.34,
TRS_Standard/Beerendonk_07/20.xml,ttt2-1.19,ttt2,325890,complete,MAYBE,244.85,99.39,
TRS_Standard/Beerendonk_07/20.xml,Wanda 2.1c,default,326231,complete,MAYBE,6.02,6.62,
TRS_Standard/Beerendonk_07/7.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/Beerendonk_07/7.xml,AProVE,standard,302124,complete,YES,4.59,1.96,
TRS_Standard/Beerendonk_07/7.xml,muterm 6.0.3,default,326595,complete,YES,0.05,0.07,
TRS_Standard/Beerendonk_07/7.xml,NaTT,Default,228408,complete,YES,0.02,0.05,
TRS_Standard/Beerendonk_07/7.xml,ttt2-1.19,ttt2,325890,complete,YES,4.19,1.38,
TRS_Standard/Beerendonk_07/7.xml,Wanda 2.1c,default,326231,complete,MAYBE,0.45,0.46,
TRS_Standard/Beerendonk_07/1.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/Beerendonk_07/1.xml,AProVE,standard,302124,complete,YES,4.31,1.94,
TRS_Standard/Beerendonk_07/1.xml,muterm 6.0.3,default,326595,complete,YES,0.05,0.07,
TRS_Standard/Beerendonk_07/1.xml,NaTT,Default,228408,complete,YES,0.03,0.06,
TRS_Standard/Beerendonk_07/1.xml,ttt2-1.19,ttt2,325890,complete,YES,3.47,1.18,
TRS_Standard/Beerendonk_07/1.xml,Wanda 2.1c,default,326231,complete,MAYBE,0.32,0.35,
TRS_Standard/Beerendonk_07/17.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/Beerendonk_07/17.xml,AProVE,standard,302124,complete,YES,26.14,13.11,
TRS_Standard/Beerendonk_07/17.xml,muterm 6.0.3,default,326595,complete,YES,287.81,288.98,
TRS_Standard/Beerendonk_07/17.xml,NaTT,Default,228408,complete,MAYBE,0.09,0.40,
TRS_Standard/Beerendonk_07/17.xml,ttt2-1.19,ttt2,325890,complete,MAYBE,245.65,99.39,
TRS_Standard/Beerendonk_07/17.xml,Wanda 2.1c,default,326231,complete,MAYBE,4.31,4.33,
TRS_Standard/Beerendonk_07/23.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/Beerendonk_07/23.xml,AProVE,standard,302124,complete,YES,5.65,2.56,
TRS_Standard/Beerendonk_07/23.xml,muterm 6.0.3,default,326595,complete,YES,0.14,0.15,
TRS_Standard/Beerendonk_07/23.xml,NaTT,Default,228408,complete,YES,0.04,0.12,
TRS_Standard/Beerendonk_07/23.xml,ttt2-1.19,ttt2,325890,complete,YES,7.41,2.22,
TRS_Standard/Beerendonk_07/23.xml,Wanda 2.1c,default,326231,complete,MAYBE,0.70,0.74,
TRS_Standard/Beerendonk_07/19.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/Beerendonk_07/19.xml,AProVE,standard,302124,complete,YES,15.38,5.90,
TRS_Standard/Beerendonk_07/19.xml,muterm 6.0.3,default,326595,timeout (wallclock),
TRS_Standard/Beerendonk_07/19.xml,NaTT,Default,228408,complete,MAYBE,0.64,0.72,
TRS_Standard/Beerendonk_07/19.xml,ttt2-1.19,ttt2,325890,complete,MAYBE,245.71,99.40,
TRS_Standard/Beerendonk_07/19.xml,Wanda 2.1c,default,326231,complete,MAYBE,4.96,4.97,
TRS_Standard/Beerendonk_07/16.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/Beerendonk_07/16.xml,AProVE,standard,302124,complete,YES,22.37,11.84,
TRS_Standard/Beerendonk_07/16.xml,muterm 6.0.3,default,326595,complete,YES,171.99,172.38,
TRS_Standard/Beerendonk_07/16.xml,NaTT,Default,228408,complete,MAYBE,0.09,0.47,
TRS_Standard/Beerendonk_07/16.xml,ttt2-1.19,ttt2,325890,complete,MAYBE,246.08,99.40,
TRS_Standard/Beerendonk_07/16.xml,Wanda 2.1c,default,326231,complete,MAYBE,1.85,2.21,
TRS_Standard/Beerendonk_07/5.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/Beerendonk_07/5.xml,AProVE,standard,302124,complete,YES,5.14,3.32,
TRS_Standard/Beerendonk_07/5.xml,muterm 6.0.3,default,326595,complete,YES,0.09,0.10,
TRS_Standard/Beerendonk_07/5.xml,NaTT,Default,228408,complete,YES,0.03,0.08,
TRS_Standard/Beerendonk_07/5.xml,ttt2-1.19,ttt2,325890,complete,YES,5.75,1.80,
TRS_Standard/Beerendonk_07/5.xml,Wanda 2.1c,default,326231,complete,MAYBE,2.30,2.31,
TRS_Standard/Beerendonk_07/11.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/Beerendonk_07/11.xml,AProVE,standard,302124,complete,YES,7.16,3.20,
TRS_Standard/Beerendonk_07/11.xml,muterm 6.0.3,default,326595,timeout (wallclock),
TRS_Standard/Beerendonk_07/11.xml,NaTT,Default,228408,complete,MAYBE,0.06,0.17,
TRS_Standard/Beerendonk_07/11.xml,ttt2-1.19,ttt2,325890,complete,MAYBE,244.95,99.40,
TRS_Standard/Beerendonk_07/11.xml,Wanda 2.1c,default,326231,complete,MAYBE,0.97,0.97,
TRS_Standard/Beerendonk_07/2.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/Beerendonk_07/2.xml,AProVE,standard,302124,complete,YES,4.33,2.05,
TRS_Standard/Beerendonk_07/2.xml,muterm 6.0.3,default,326595,complete,YES,0.06,0.08,
TRS_Standard/Beerendonk_07/2.xml,NaTT,Default,228408,complete,YES,0.02,0.05,
TRS_Standard/Beerendonk_07/2.xml,ttt2-1.19,ttt2,325890,complete,YES,4.35,1.43,
TRS_Standard/Beerendonk_07/2.xml,Wanda 2.1c,default,326231,complete,MAYBE,0.45,0.46,
TRS_Standard/Beerendonk_07/8.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/Beerendonk_07/8.xml,AProVE,standard,302124,complete,YES,3.98,1.80,
TRS_Standard/Beerendonk_07/8.xml,muterm 6.0.3,default,326595,complete,YES,0.08,0.10,
TRS_Standard/Beerendonk_07/8.xml,NaTT,Default,228408,complete,YES,0.03,0.07,
TRS_Standard/Beerendonk_07/8.xml,ttt2-1.19,ttt2,325890,complete,YES,4.84,1.56,
TRS_Standard/Beerendonk_07/8.xml,Wanda 2.1c,default,326231,complete,MAYBE,7.38,7.39,
TRS_Standard/Beerendonk_07/18.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/Beerendonk_07/18.xml,AProVE,standard,302124,complete,YES,4.52,2.09,
TRS_Standard/Beerendonk_07/18.xml,muterm 6.0.3,default,326595,timeout (wallclock),
TRS_Standard/Beerendonk_07/18.xml,NaTT,Default,228408,complete,MAYBE,0.51,0.55,
TRS_Standard/Beerendonk_07/18.xml,ttt2-1.19,ttt2,325890,complete,MAYBE,244.07,99.40,
TRS_Standard/Beerendonk_07/18.xml,Wanda 2.1c,default,326231,complete,MAYBE,11.11,11.14,
TRS_Standard/Beerendonk_07/6.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/Beerendonk_07/6.xml,AProVE,standard,302124,complete,YES,4.23,1.87,
TRS_Standard/Beerendonk_07/6.xml,muterm 6.0.3,default,326595,complete,YES,0.05,0.11,
TRS_Standard/Beerendonk_07/6.xml,NaTT,Default,228408,complete,YES,0.02,0.05,
TRS_Standard/Beerendonk_07/6.xml,ttt2-1.19,ttt2,325890,complete,YES,3.60,1.23,
TRS_Standard/Beerendonk_07/6.xml,Wanda 2.1c,default,326231,complete,MAYBE,0.24,0.25,
TRS_Standard/Beerendonk_07/21.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/Beerendonk_07/21.xml,AProVE,standard,302124,timeout (wallclock),
TRS_Standard/Beerendonk_07/21.xml,muterm 6.0.3,default,326595,timeout (wallclock),
TRS_Standard/Beerendonk_07/21.xml,NaTT,Default,228408,complete,MAYBE,0.08,0.41,
TRS_Standard/Beerendonk_07/21.xml,ttt2-1.19,ttt2,325890,complete,MAYBE,244.97,99.39,
TRS_Standard/Beerendonk_07/21.xml,Wanda 2.1c,default,326231,complete,MAYBE,2.45,2.47,
TRS_Standard/Beerendonk_07/9.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/Beerendonk_07/9.xml,AProVE,standard,302124,complete,YES,4.91,2.23,
TRS_Standard/Beerendonk_07/9.xml,muterm 6.0.3,default,326595,complete,YES,0.07,0.09,
TRS_Standard/Beerendonk_07/9.xml,NaTT,Default,228408,complete,YES,0.03,0.08,
TRS_Standard/Beerendonk_07/9.xml,ttt2-1.19,ttt2,325890,complete,YES,5.40,1.66,
TRS_Standard/Beerendonk_07/9.xml,Wanda 2.1c,default,326231,complete,MAYBE,3.50,2.88,
TRS_Standard/Beerendonk_07/4.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/Beerendonk_07/4.xml,AProVE,standard,302124,complete,YES,4.47,2.03,
TRS_Standard/Beerendonk_07/4.xml,muterm 6.0.3,default,326595,complete,MAYBE,202.53,202.66,
TRS_Standard/Beerendonk_07/4.xml,NaTT,Default,228408,complete,MAYBE,0.03,0.08,
