pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,output-size
381903980,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.49.xml,5166806,AProVE,20177,complexity,302122,complete,911.335428209,292.250690937,8.000053248E9,"WORST_CASE(Omega(n^1), ?),3275
381904010,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.49.xml,5166806,tct 2018-07-13,20651,tct_rci,304379,timeout (wallclock)",1063.41210866,294.26609683,3.565395968E9,"WORST_CASE(Omega(n^1),?)",1527
381904040,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.18.xml,5166807,AProVE,20177,complexity,302122,complete,36.15866715,12.280121088,4.527521792E9,"WORST_CASE(Omega(n^1), O(n^1))",19097
381904069,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.18.xml,5166807,tct 2018-07-13,20651,tct_rci,304379,complete,832.859169081,294.172124863,5.46127872E8,"WORST_CASE(Omega(n^1),?)",1884
381904098,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.6.xml,5166808,AProVE,20177,complexity,302122,complete,34.723874017,9.68915104866,4.6793728E9,"WORST_CASE(Omega(n^1), O(n^1))",39109
381904127,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.6.xml,5166808,tct 2018-07-13,20651,tct_rci,304379,complete,21.388626099,6.61896085739,1.18181888E8,"WORST_CASE(Omega(n^1),O(n^2))",43839
381904156,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.35.xml,5166809,AProVE,20177,complexity,302122,complete,13.233312397,4.36909294128,4.109213696E9,"WORST_CASE(Omega(n^1), O(n^1))",5755
381904185,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.35.xml,5166809,tct 2018-07-13,20651,tct_rci,304379,complete,0.831821693,0.229073047638,3.2022528E7,"WORST_CASE(?,O(n^1))",1834
381904213,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.53.xml,5166810,AProVE,20177,complexity,302122,complete,28.199469361,8.02228403091,4.28990464E9,"WORST_CASE(Omega(n^3), O(n^3))",45756
381904240,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.53.xml,5166810,tct 2018-07-13,20651,tct_rci,304379,complete,34.671368413,6.94688510895,1.60591872E8,"WORST_CASE(Omega(n^1),O(n^3))",89749
